date,AAPL_close,MSFT_close,GOOGL_close,AMZN_close,META_close,NVDA_close,JPM_close,BAC_close,XOM_close,CVX_close,JNJ_close,PFE_close,WMT_close,PG_close,KO_close
2023-03-15 04:00:00,152.99,265.44,96.11,96.2,197.75,24.228,128.26,28.49,101.62,153.8,154.35,40.28,46.5467,141.83,60.43
2023-03-16 04:00:00,155.85,276.2,100.32,100.04,204.93,25.541,130.75,28.97,101.03,154.29,154.03,40.37,46.0933,142.89,60.3
2023-03-17 04:00:00,155.0,279.43,101.62,98.95,195.61,25.725,125.81,27.82,99.84,152.34,152.38,40.1,46.4667,142.93,60.02
2023-03-20 04:00:00,157.4,272.23,101.22,97.71,197.81,25.9,127.14,27.75,102.45,154.58,153.89,40.81,46.9667,145.13,60.6
2023-03-21 04:00:00,159.28,273.78,104.92,100.61,202.16,26.199,130.55,28.59,107.04,159.31,153.89,40.66,46.8067,144.08,60.32
2023-03-22 04:00:00,157.83,272.29,103.37,98.7,199.81,26.468,127.18,27.64,104.59,156.07,151.05,40.01,46.5067,143.99,60.05
2023-03-23 04:00:00,158.93,277.66,105.6,98.71,204.28,27.191,126.84,26.97,103.41,154.52,151.13,40.18,46.8833,143.79,59.92
2023-03-24 04:00:00,160.25,280.57,105.44,98.13,206.01,26.779,124.91,27.14,103.53,156.06,152.65,40.39,47.2667,146.72,60.9
2023-03-27 04:00:00,158.28,276.38,102.46,98.04,202.84,26.531,128.49,28.49,105.8,157.65,153.3,40.22,48.0567,145.95,61.35
2023-03-28 04:00:00,157.65,275.23,101.03,97.24,200.68,26.41,128.88,28.12,107.12,159.49,151.82,39.99,47.87,146.36,61.42
2023-03-29 04:00:00,160.77,280.51,101.39,100.25,205.35,26.984,129.14,28.67,108.96,160.86,153.31,40.25,48.0767,146.81,61.86
2023-03-30 04:00:00,162.36,284.05,100.89,102.0,207.84,27.383,128.75,28.3,109.49,162.39,153.43,40.38,48.5567,147.45,61.85
2023-03-31 04:00:00,164.9,288.3,103.73,103.29,211.94,27.777,130.31,28.6,109.66,163.16,155.0,40.8,49.15,148.69,62.03
2023-04-03 04:00:00,166.17,287.23,104.36,102.41,213.07,27.965,130.16,28.59,116.13,169.95,156.85,41.35,49.5633,149.51,62.4
2023-04-04 04:00:00,165.63,287.18,104.72,103.95,214.72,27.453,128.42,27.98,115.02,169.04,158.49,40.9,49.0767,150.23,62.21
2023-04-05 04:00:00,163.76,284.34,104.47,101.1,211.48,26.881,127.61,27.64,116.99,169.88,165.61,41.55,49.89,151.26,62.8
2023-04-06 04:00:00,164.66,291.6,108.42,102.06,216.1,27.037,127.47,27.84,115.05,167.65,165.15,41.5,50.2667,152.22,62.84
2023-04-10 04:00:00,162.03,289.39,106.44,102.17,214.75,27.579,127.89,27.94,114.54,168.29,164.32,41.73,50.17,150.96,62.69
2023-04-11 04:00:00,160.8,282.83,105.35,99.92,213.85,27.169,128.52,28.71,115.35,169.22,164.27,41.79,50.0233,150.66,62.58
2023-04-12 04:00:00,160.1,283.49,104.64,97.83,214.0,26.495,128.5,28.48,115.23,169.82,163.92,41.37,49.78,151.07,62.69
2023-04-13 04:00:00,165.56,289.84,107.43,102.4,220.35,26.463,128.99,28.56,115.77,172.09,166.11,41.47,49.83,151.77,63.15
2023-04-14 04:00:00,165.21,286.14,108.87,102.51,221.49,26.758,138.73,29.52,116.05,172.44,165.84,41.19,49.4933,151.0,63.05
2023-04-17 04:00:00,165.23,288.8,105.97,102.74,218.86,27.002,139.83,30.37,114.7,170.92,165.67,41.18,49.84,151.05,63.46
2023-04-18 04:00:00,166.47,288.37,104.5,102.3,217.89,27.667,141.4,30.56,116.94,170.52,161.01,40.55,49.95,151.21,63.56
2023-04-19 04:00:00,167.63,288.45,104.18,104.3,215.7,27.931,141.22,30.06,116.57,170.68,162.53,40.24,50.0033,151.24,63.68
2023-04-20 04:00:00,166.65,286.11,105.29,103.81,213.07,27.104,140.81,29.9,115.64,169.85,163.58,39.85,50.3233,150.85,63.96
2023-04-21 04:00:00,165.02,285.76,105.41,106.96,212.89,27.119,140.54,29.87,116.01,169.12,162.69,40.21,50.5767,156.07,64.05
2023-04-24 04:00:00,165.33,281.77,105.97,106.21,212.79,27.042,140.73,29.76,118.2,171.48,163.68,39.91,50.92,156.35,63.95
2023-04-25 04:00:00,163.77,275.42,103.85,102.57,207.55,26.241,137.67,28.84,116.52,168.99,165.18,39.33,50.5233,156.39,63.85
2023-04-26 04:00:00,163.76,295.37,103.71,104.98,209.4,26.956,135.23,28.44,115.45,165.98,162.62,38.63,50.3033,154.58,63.55
2023-04-27 04:00:00,168.41,304.83,107.59,109.82,238.56,27.226,137.05,28.89,116.83,166.95,163.0,38.74,50.46,156.47,63.68
2023-04-28 04:00:00,169.68,307.26,107.34,105.45,240.32,27.749,138.24,29.28,118.34,168.58,163.7,38.89,50.3233,156.38,64.15
2023-05-01 04:00:00,169.59,305.56,107.2,102.05,243.18,28.91,141.2,29.04,114.67,167.24,163.6,39.21,50.53,156.57,64.3
2023-05-02 04:00:00,168.54,305.41,105.32,103.63,239.24,28.21,138.92,28.16,110.1,160.04,165.03,39.06,50.3933,156.43,64.01
2023-05-03 04:00:00,167.45,304.4,105.41,103.65,237.03,27.802,135.98,27.86,107.93,156.83,162.87,38.45,50.2067,156.23,63.65
2023-05-04 04:00:00,165.79,305.41,104.69,104.0,233.52,27.562,134.12,26.99,106.04,156.22,162.13,38.23,50.1567,155.51,63.72
2023-05-05 04:00:00,173.57,310.65,105.57,105.655,232.78,28.68,136.74,27.71,108.68,160.21,162.68,38.49,50.59,156.03,64.02
2023-05-08 04:00:00,173.5,308.65,107.77,105.83,233.27,29.151,137.07,27.69,109.11,159.58,162.31,38.67,50.9067,155.3,63.92
2023-05-09 04:00:00,171.77,307.0,107.35,106.62,233.37,28.571,136.41,27.66,109.14,159.12,161.05,38.48,50.9933,153.71,63.39
2023-05-10 04:00:00,173.555,312.31,111.75,110.19,233.08,28.885,136.48,27.32,107.74,157.09,161.65,38.3,50.85,154.03,63.5
2023-05-11 04:00:00,173.75,310.11,116.57,112.18,235.79,28.578,136.05,27.39,105.79,156.22,160.99,37.58,51.04,154.39,63.86
2023-05-12 04:00:00,172.57,308.97,117.51,110.26,233.81,28.34,134.1,27.09,105.78,156.62,160.78,37.35,51.0233,155.96,64.11
2023-05-15 04:00:00,172.07,309.46,116.51,111.2,238.86,28.953,135.23,27.65,105.07,157.2,159.55,37.16,50.6267,156.01,63.94
2023-05-16 04:00:00,172.07,311.74,119.51,113.4,238.82,29.213,134.32,27.36,102.52,153.51,159.34,37.01,49.9267,155.74,63.22
2023-05-17 04:00:00,172.69,314.0,120.84,115.5,242.485,30.178,138.45,28.57,104.82,155.71,158.99,36.75,49.8433,155.08,63.15
2023-05-18 04:00:00,175.05,318.52,122.83,118.15,246.85,31.678,139.5,28.47,105.77,154.01,158.48,36.48,50.49,152.53,62.8
2023-05-19 04:00:00,175.16,318.34,122.76,116.25,245.64,31.264,139.18,28.11,106.26,155.23,158.91,36.77,49.97,153.17,62.83
2023-05-22 04:00:00,174.2,321.18,125.05,115.01,248.32,31.176,138.03,28.34,104.97,152.44,156.87,38.75,49.53,149.16,61.51
2023-05-23 04:00:00,171.56,315.26,122.56,114.99,246.74,30.688,136.59,28.58,106.4,156.85,156.81,39.64,49.4367,147.55,61.4
2023-05-24 04:00:00,171.84,313.85,120.9,116.75,249.21,30.538,135.34,28.1,107.59,157.27,156.66,38.63,49.21,146.33,60.88
2023-05-25 04:00:00,172.99,325.92,123.48,115.0,252.69,37.98,135.67,28.17,105.66,154.56,154.41,37.83,48.72,145.39,60.41
2023-05-26 04:00:00,175.43,332.89,124.61,120.11,262.04,38.946,136.94,28.31,104.97,154.08,154.35,37.6,48.8067,145.4,60.26
2023-05-30 04:00:00,177.3,331.21,122.04,121.66,262.52,40.111,137.46,28.26,104.04,153.12,154.37,37.01,48.6867,143.18,59.78
2023-05-31 04:00:00,177.25,328.39,122.87,120.58,264.72,37.834,135.71,27.79,102.18,150.62,155.06,38.02,48.9567,142.5,59.66
2023-06-01 04:00:00,180.09,332.58,123.72,122.77,272.61,39.77,137.58,27.78,103.36,152.16,154.54,38.02,49.1367,143.96,60.0
2023-06-02 04:00:00,180.95,335.4,124.67,124.25,272.61,39.327,140.47,28.71,105.76,156.26,156.97,38.36,49.6067,146.52,61.16
2023-06-05 04:00:00,179.58,335.94,126.01,125.3,271.39,39.171,139.09,28.54,105.29,155.51,158.32,38.65,49.9333,145.94,60.75
2023-06-06 04:00:00,179.21,333.68,127.31,126.61,271.12,38.654,139.34,29.23,106.15,155.79,158.18,38.37,49.9267,144.49,60.31
2023-06-07 04:00:00,177.82,323.38,122.5,121.23,263.6,37.475,140.69,29.48,108.53,159.83,158.52,38.89,50.0,144.8,60.22
2023-06-08 04:00:00,180.57,325.26,122.14,124.25,264.58,38.51,140.73,29.23,108.19,159.24,160.26,39.09,50.7233,146.44,60.37
2023-06-09 04:00:00,180.96,326.79,122.23,123.43,264.95,38.77,141.01,29.27,107.39,158.86,160.01,38.97,51.03,146.56,60.47
2023-06-12 04:00:00,183.79,331.85,123.64,126.57,271.05,39.482,141.0,29.13,106.42,157.33,159.9,39.9,51.3667,145.41,60.21
2023-06-13 04:00:00,183.31,334.29,123.83,126.66,271.32,41.022,142.02,29.4,106.44,158.51,160.74,40.28,51.7667,145.06,60.45
2023-06-14 04:00:00,183.95,337.34,123.67,126.42,273.35,42.997,141.49,29.12,105.16,157.09,161.56,39.36,52.29,146.42,60.86
2023-06-15 04:00:00,186.01,348.1,125.09,127.11,281.83,42.653,143.09,29.37,105.89,158.28,163.73,39.75,52.5767,148.45,61.23
2023-06-16 04:00:00,184.92,342.33,123.53,125.49,281.0,42.692,143.26,29.19,105.13,157.26,164.23,40.06,51.8433,149.54,61.67
2023-06-20 04:00:00,185.01,338.05,123.1,125.78,284.33,43.808,142.53,28.87,102.72,153.68,164.13,39.34,51.3867,148.16,61.26
2023-06-21 04:00:00,183.96,333.56,120.55,124.83,281.64,43.045,142.32,28.57,103.87,154.88,163.88,38.9,51.4867,149.44,61.43
2023-06-22 04:00:00,187.0,339.71,123.15,130.15,284.88,43.025,139.58,27.96,103.3,152.64,165.62,38.73,51.9167,149.95,61.85
2023-06-23 04:00:00,186.68,335.02,122.34,129.33,288.73,42.209,138.85,27.75,102.4,151.35,165.48,38.3,51.82,148.46,61.2
2023-06-26 04:00:00,185.27,328.6,118.34,127.33,278.47,40.632,139.19,28.09,104.29,154.01,163.63,36.89,51.6833,148.61,61.22
2023-06-27 04:00:00,188.06,334.57,118.33,129.18,287.05,41.876,139.2,28.24,104.55,153.53,163.29,36.42,51.4967,150.02,61.09
2023-06-28 04:00:00,189.25,335.85,120.18,129.04,285.29,41.117,138.59,28.07,105.4,154.92,162.96,36.29,51.7767,149.99,60.52
2023-06-29 04:00:00,189.59,335.05,119.1,127.9,281.53,40.822,143.43,28.66,106.7,156.24,164.1,36.12,51.4267,149.38,60.02
2023-06-30 04:00:00,193.97,340.54,119.7,130.36,286.98,42.302,145.44,28.69,107.25,157.35,165.52,36.68,52.3933,151.74,60.22
2023-07-03 04:00:00,192.46,337.99,119.9,130.22,286.02,42.413,146.61,29.2,107.46,157.21,163.35,36.65,52.7333,152.5,60.58
2023-07-05 04:00:00,191.33,338.15,121.75,130.38,294.37,42.317,144.64,29.08,106.91,156.31,162.81,36.46,52.7033,152.24,61.03
2023-07-06 04:00:00,191.81,341.27,120.11,128.36,291.99,42.103,143.21,28.28,102.92,152.88,161.6,35.63,52.37,151.99,60.56
2023-07-07 04:00:00,190.68,337.22,119.48,129.78,290.53,42.503,144.34,28.53,103.16,154.22,159.25,35.53,51.1633,148.8,59.76
2023-07-10 04:00:00,188.61,331.83,116.45,127.13,294.1,42.18,145.15,28.66,104.69,155.25,159.51,35.68,51.6267,148.86,59.31
2023-07-11 04:00:00,188.08,332.47,117.14,128.78,298.29,42.405,147.42,29.02,105.97,158.12,158.63,36.02,51.55,148.08,59.52
2023-07-12 04:00:00,189.77,337.2,118.93,130.8,309.34,43.902,148.15,29.36,106.49,159.64,158.08,35.99,51.68,148.85,59.84
2023-07-13 04:00:00,190.54,342.66,124.54,134.3,313.41,45.977,148.87,29.67,104.54,157.51,158.81,36.06,51.3767,148.95,60.35
2023-07-14 04:00:00,190.69,345.24,125.42,134.68,308.87,45.469,149.77,29.11,100.94,153.58,159.87,36.32,51.5533,150.05,60.9
2023-07-17 04:00:00,193.99,345.73,124.65,133.56,310.62,46.461,153.38,29.4,101.38,153.44,159.07,35.86,51.6167,148.99,60.81
2023-07-18 04:00:00,193.73,359.49,123.76,132.83,312.05,47.494,153.66,30.7,100.92,153.75,159.06,36.24,51.5233,149.27,60.57
2023-07-19 04:00:00,195.1,355.08,122.03,135.36,316.01,47.077,154.25,31.53,101.62,154.69,158.74,36.44,51.54,150.29,61.64
2023-07-20 04:00:00,193.13,346.87,119.2,129.96,302.52,45.52,156.15,31.69,103.41,156.4,168.38,36.77,52.4933,150.56,62.39
2023-07-21 04:00:00,191.94,343.77,120.02,130.0,294.26,44.309,154.95,31.98,103.89,158.69,170.19,37.4,52.79,152.93,62.44
2023-07-24 04:00:00,192.75,345.11,121.53,128.8,291.61,44.612,158.0,32.65,105.52,161.82,171.08,37.51,53.1,153.42,62.46
2023-07-25 04:00:00,193.62,350.98,122.21,129.13,294.47,45.679,156.82,32.15,105.68,162.56,172.39,37.06,53.0567,153.78,62.25
2023-07-26 04:00:00,194.5,337.77,129.27,128.15,298.57,45.452,157.76,32.41,105.09,161.34,172.72,37.21,53.2467,153.94,63.05
2023-07-27 04:00:00,193.22,330.72,129.4,128.25,311.71,45.9,156.02,31.95,105.42,159.66,173.69,36.2,53.0533,152.11,62.44
2023-07-28 04:00:00,195.83,338.37,132.58,132.21,325.48,46.75,156.91,31.9,104.16,158.87,174.48,36.07,53.3033,156.41,62.48
2023-07-31 04:00:00,196.45,335.92,132.72,133.68,318.6,46.729,157.96,32.0,107.24,163.66,167.53,36.06,53.2867,156.3,61.93
2023-08-01 04:00:00,195.605,336.34,131.55,131.69,322.71,46.507,157.18,31.62,106.62,162.3,168.89,35.61,53.0367,156.25,61.77
2023-08-02 04:00:00,192.58,327.5,128.38,128.21,314.31,44.269,155.4,31.19,105.29,159.73,169.91,35.35,53.0733,156.59,61.96
2023-08-03 04:00:00,191.17,326.66,128.45,128.91,313.19,44.515,156.35,31.41,107.12,159.67,170.64,35.0,53.0867,157.0,61.64
2023-08-04 04:00:00,181.99,327.78,128.11,139.57,310.73,44.68,156.02,31.3,107.42,159.31,169.04,35.02,52.78,155.28,60.71
2023-08-07 04:00:00,178.85,330.11,131.53,142.22,316.56,45.4165,156.76,31.88,107.2,159.89,173.1,35.68,53.4967,156.92,61.19
2023-08-08 04:00:00,179.8,326.05,131.4,139.94,312.64,44.664,155.88,31.27,107.73,159.65,173.18,35.64,53.55,157.09,60.92
2023-08-09 04:00:00,178.19,322.23,129.66,137.85,305.21,42.554,153.79,30.86,109.56,159.86,173.07,35.84,53.6367,156.89,61.06
2023-08-10 04:00:00,177.97,322.93,129.69,138.56,305.74,42.388,153.56,30.94,110.12,160.83,172.17,35.72,53.42,156.11,60.92
2023-08-11 04:00:00,177.79,321.01,129.56,138.41,301.64,40.855,154.45,31.29,111.83,164.15,173.85,36.04,53.7333,157.02,61.17
2023-08-14 04:00:00,179.46,324.04,131.33,140.57,306.19,43.753,154.77,30.93,111.92,164.03,173.44,36.07,53.3333,155.79,60.88
2023-08-15 04:00:00,177.45,321.86,129.78,137.67,301.95,43.94,150.83,29.94,108.16,159.24,172.94,35.39,53.06,154.79,60.47
2023-08-16 04:00:00,176.57,320.4,128.7,135.07,294.29,43.486,150.19,29.29,106.34,158.63,172.39,35.48,53.0867,153.21,60.48
2023-08-17 04:00:00,174.0,316.88,129.92,133.98,285.09,43.3435,148.63,29.28,108.4,159.75,174.01,36.51,51.8967,152.11,60.61
2023-08-18 04:00:00,174.49,316.48,127.46,133.22,283.25,43.299,148.97,29.11,110.04,160.9,172.49,36.66,52.6433,152.54,60.95
2023-08-21 04:00:00,175.84,321.88,128.37,134.68,289.9,46.967,149.48,29.15,108.71,160.36,167.35,37.01,52.5033,151.77,60.43
2023-08-22 04:00:00,177.23,322.46,129.08,134.25,287.6,45.668,146.38,28.44,108.1,159.04,166.02,36.84,52.3367,151.83,60.06
2023-08-23 04:00:00,181.12,327.0,132.37,135.52,294.24,47.116,147.37,28.45,107.15,159.25,164.53,36.66,52.7,153.25,60.27
2023-08-24 04:00:00,176.38,319.97,129.78,131.84,286.75,47.163,147.23,28.62,106.35,157.94,165.09,36.16,52.2967,152.54,60.11
2023-08-25 04:00:00,178.61,322.98,129.88,133.26,285.5,46.018,147.05,28.5,108.25,159.12,166.25,36.38,52.6067,153.54,60.39
2023-08-28 04:00:00,180.19,323.7,131.01,133.14,290.26,46.835,147.56,28.76,109.16,160.21,164.29,36.21,52.9067,153.78,60.56
2023-08-29 04:00:00,184.12,328.41,134.57,134.91,297.99,48.784,148.76,29.17,109.81,159.96,164.31,36.15,53.35,153.87,60.5
2023-08-30 04:00:00,187.65,328.79,135.88,135.07,295.1,49.264,148.16,29.04,110.88,160.18,163.73,35.9,53.7333,154.04,60.47
2023-08-31 04:00:00,187.87,327.76,136.17,138.01,295.89,49.355,146.33,28.67,111.19,161.1,161.68,35.38,54.2033,154.34,59.83
2023-09-01 04:00:00,189.46,328.66,135.66,138.12,296.38,48.509,146.82,28.98,113.52,164.3,160.48,35.78,53.8567,154.51,59.31
2023-09-05 04:00:00,189.7,333.55,135.77,137.27,300.15,48.548,145.2,28.65,113.53,166.46,160.68,35.38,53.4233,152.44,58.82
2023-09-06 04:00:00,182.91,332.88,134.46,135.36,299.17,47.061,144.96,28.39,114.51,166.63,158.01,34.37,53.8233,152.14,58.78
2023-09-07 04:00:00,177.56,329.91,135.26,137.85,298.67,46.241,143.72,28.13,113.95,166.64,160.03,34.28,54.49,153.59,58.33
2023-09-08 04:00:00,178.18,334.27,136.38,138.23,297.89,45.572,143.83,28.36,115.61,167.21,160.56,34.25,54.59,152.93,58.33
2023-09-11 04:00:00,179.36,337.94,136.92,143.1,307.56,45.178,144.46,28.48,114.16,163.76,162.66,33.94,54.78,154.75,58.88
2023-09-12 04:00:00,176.3,331.77,135.34,141.23,301.66,44.87,146.34,28.97,117.49,166.81,163.58,34.15,54.84,152.03,58.3
2023-09-13 04:00:00,174.21,336.06,136.71,144.85,305.06,45.485,146.41,28.88,116.44,166.2,163.99,34.08,54.8533,153.09,58.44
2023-09-14 04:00:00,175.74,338.7,138.1,144.72,311.72,45.581,149.25,29.2,118.52,167.23,163.74,34.15,55.0833,154.77,58.46
2023-09-15 04:00:00,175.01,330.22,137.4,140.39,300.31,43.9,148.81,28.84,116.7,166.5,161.45,34.07,54.88,153.47,57.94
2023-09-18 04:00:00,177.97,329.06,138.21,139.98,302.55,43.966,149.12,28.76,117.64,167.22,162.47,33.64,54.4733,154.05,58.3
2023-09-19 04:00:00,179.07,328.65,138.04,137.63,305.07,43.52,148.93,28.65,117.33,167.2,162.2,33.99,54.46,153.6,58.18
2023-09-20 04:00:00,175.49,320.77,133.74,135.29,299.67,42.239,148.3,28.55,116.4,166.69,162.91,33.62,54.6367,153.47,58.44
2023-09-21 04:00:00,173.93,319.53,130.44,129.33,295.73,41.017,147.14,28.05,114.76,165.19,161.66,32.85,53.9733,152.14,57.54
2023-09-22 04:00:00,174.79,317.01,130.25,129.12,299.08,41.61,145.73,27.64,114.94,166.28,160.5,32.69,54.1167,151.58,57.6
2023-09-25 04:00:00,176.08,317.54,131.11,131.27,300.83,42.222,146.45,27.6,116.23,168.71,160.26,32.98,54.3567,150.66,57.0
2023-09-26 04:00:00,171.96,312.14,128.565,125.98,298.96,41.911,144.93,27.17,116.41,167.8,159.02,32.4,54.1667,149.32,56.53
2023-09-27 04:00:00,170.43,312.79,130.54,125.98,297.74,42.468,145.78,27.27,120.2,171.04,157.11,32.1,53.9067,147.34,55.95
2023-09-28 04:00:00,170.69,313.64,132.31,125.98,303.96,43.089,147.59,27.56,119.47,170.59,156.88,32.09,54.18,146.34,55.81
2023-09-29 04:00:00,171.21,315.75,130.86,127.12,300.21,43.499,145.02,27.38,117.58,168.62,155.75,33.17,53.31,145.86,55.98
2023-10-02 04:00:00,173.75,321.8,134.17,129.46,306.82,44.782,143.77,26.7,115.63,166.54,155.15,33.94,53.3667,145.19,55.48
2023-10-03 04:00:00,172.4,313.39,132.43,124.72,300.94,43.517,142.71,25.91,115.83,166.93,155.34,33.9,53.03,145.49,54.88
2023-10-04 04:00:00,173.66,318.955,135.24,127.0,305.58,44.041,143.35,25.94,111.5,163.04,155.52,33.31,53.6667,145.97,55.04
2023-10-05 04:00:00,174.91,319.36,135.07,125.96,304.79,44.688,142.9,26.06,108.99,163.9,157.14,33.47,53.0267,143.8,52.38
2023-10-06 04:00:00,177.49,327.26,137.58,127.96,315.43,45.762,145.1,26.07,107.17,162.23,157.64,33.13,52.1367,144.09,53.14
2023-10-09 04:00:00,178.99,329.82,138.42,128.26,318.36,45.273,144.77,26.31,110.92,166.72,158.54,33.2,51.9467,143.36,52.88
2023-10-10 04:00:00,178.39,328.39,138.06,129.48,321.84,45.798,145.65,27.01,110.45,166.54,158.36,33.17,52.5333,144.78,54.03
2023-10-11 04:00:00,179.8,332.42,140.55,131.83,327.82,46.806,146.15,27.02,106.49,161.1,156.18,33.11,52.7433,143.0,53.71
2023-10-12 04:00:00,180.71,331.16,138.97,132.33,324.16,46.945,145.81,26.9,106.47,161.23,156.33,32.92,52.9833,143.32,52.81
2023-10-13 04:00:00,178.85,327.73,137.36,129.79,314.69,45.461,148.0,26.76,109.87,164.06,156.85,32.11,53.2767,144.69,52.89
2023-10-16 04:00:00,178.72,332.64,139.095,132.55,321.15,46.095,147.85,26.99,109.95,165.4,157.53,33.27,53.7367,146.07,53.43
2023-10-17 04:00:00,177.15,332.06,139.72,131.47,324.0,43.938,147.53,27.62,111.39,167.59,156.09,32.75,53.8067,146.26,54.07
2023-10-18 04:00:00,175.84,330.11,137.96,128.13,316.97,42.196,145.91,27.31,112.95,168.92,152.73,31.41,53.8467,150.03,54.05
2023-10-19 04:00:00,175.46,331.32,137.75,128.4,312.81,42.101,145.29,26.96,113.02,169.1,152.32,31.19,53.59,148.25,54.35
2023-10-20 04:00:00,172.88,326.67,135.6,125.17,308.65,41.387,142.95,26.31,111.08,166.83,153.0,30.65,52.92,148.05,54.57
2023-10-23 04:00:00,173.0,329.32,136.5,126.56,314.01,42.975,141.0,25.57,109.45,160.68,151.39,30.84,53.67,148.15,54.08
2023-10-24 04:00:00,173.44,330.53,138.81,128.56,312.55,43.663,141.17,25.47,108.39,156.65,151.23,30.43,54.4167,149.9,55.64
2023-10-25 04:00:00,171.1,340.67,125.61,121.39,299.53,41.779,140.4,25.55,108.59,155.87,151.57,30.73,54.2533,150.6,56.12
2023-10-26 04:00:00,166.89,327.89,122.28,119.57,288.35,40.326,140.76,26.12,107.6,154.75,149.0,31.16,53.9233,149.8,55.78
2023-10-27 04:00:00,168.22,329.81,122.17,127.74,296.73,40.5,135.69,25.17,105.55,144.35,145.6,30.11,53.7233,147.16,55.24
2023-10-30 04:00:00,170.29,337.31,124.46,132.71,302.66,41.161,137.42,25.69,105.88,146.09,147.03,30.55,54.34,149.26,56.15
2023-10-31 04:00:00,170.77,338.11,124.08,133.09,301.27,40.78,139.06,26.34,105.85,145.73,148.34,30.56,54.47,150.03,56.49
2023-11-01 04:00:00,173.97,346.07,126.45,137.0,311.85,42.325,138.94,26.4,105.64,143.98,148.69,30.51,54.9567,149.61,56.44
2023-11-02 04:00:00,177.57,348.32,127.49,138.07,310.87,43.506,141.42,27.62,109.11,148.76,150.24,30.5,55.1733,151.44,57.09
